date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:41:37	33344/33344	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2012:41:37%20GMT	https://theembazaar.com/demo/3xtheme/jio-construction/assets/assets/loader.gif	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/assets/loader.gif	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/settings.css)
13:41:38	33344/33344	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2012:41:38%20GMT	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/owl.video.play.png	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/owl.video.play.png	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/owl.carousel.css)
13:41:41	33344/33344	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2012:41:41%20GMT	https://theembazaar.com/demo/3xtheme/jio-construction/assets/images/new_slider02.jpg	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/images/new_slider02.6f.delayed	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/style.css)
13:41:41	33344/33344	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2012:41:41%20GMT	https://theembazaar.com/demo/3xtheme/jio-construction/assets/images/slider-home-construction-02.jpg	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/images/slider-home-construction-02.jpg	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/style.css)
13:41:42	33344/33344	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2012:41:42%20GMT	https://theembazaar.com/demo/3xtheme/jio-construction/assets/images/02.jpg	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/images/02.jpg	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/style.css)
13:41:43	33344/33344	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2012:41:43%20GMT	https://theembazaar.com/demo/3xtheme/jio-construction/assets/images/white-texture.jpg	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/images/white-texture.jpg	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/style.css)
13:41:46	33344/33344	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2012:41:46%20GMT	https://theembazaar.com/demo/3xtheme/jio-construction/assets/images/parallax1.jpg	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/images/parallax1.74.delayed	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/style.css)
13:41:46	33344/33344	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2012:41:46%20GMT	https://theembazaar.com/demo/3xtheme/jio-construction/assets/images/corve.png	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/images/corve.png	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/style.css)
13:41:47	33344/33344	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2012:41:47%20GMT	https://theembazaar.com/demo/3xtheme/jio-construction/assets/images/bg-10.jpg	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/images/bg-10.jpg	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/style.css)
13:41:47	1402312/1402312	---M--	200	added ('OK')	image/jpeg	etag:%221565c8-5f17bcee-babe0f32580ef190;;;%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/images/bg_1.jpg	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/images/bg_1.jpg	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/style.css)
